	Timestamp	Price	MarketCap	TotalVolumes	TimestampMod	date	year	month	day	hour	minute	second
22	1682208000000	21.85149833032492	8584446324.231401	249197740.8361164	1682208000.0	2023-04-23 00:00:00	2023	4	23	0	0	0
23	1682294400000	21.49927294670662	8420199212.273126	348355516.8754679	1682294400.0	2023-04-24 00:00:00	2023	4	24	0	0	0
24	1682380800000	21.388123623341926	8399117356.571699	401676853.0626663	1682380800.0	2023-04-25 00:00:00	2023	4	25	0	0	0
25	1682467200000	21.93961247225034	8617142936.350363	409777211.6820076	1682467200.0	2023-04-26 00:00:00	2023	4	26	0	0	0
26	1682553600000	21.25624752923348	8354008434.670635	778775424.108569	1682553600.0	2023-04-27 00:00:00	2023	4	27	0	0	0
27	1682640000000	22.337864023679735	8756193576.97448	588617917.5009629	1682640000.0	2023-04-28 00:00:00	2023	4	28	0	0	0
28	1682726400000	23.374818189016118	9208471390.321592	571324657.1728787	1682726400.0	2023-04-29 00:00:00	2023	4	29	0	0	0
29	1682812800000	23.12840167422879	9092156212.487627	419332790.79053307	1682812800.0	2023-04-30 00:00:00	2023	4	30	0	0	0
30	1682899200000	22.998321615708303	9057154980.365274	425241774.7039137	1682899200.0	2023-05-01 00:00:00	2023	5	1	0	0	0
31	1682985600000	22.00748575266789	8651811979.929995	505839771.41452694	1682985600.0	2023-05-02 00:00:00	2023	5	2	0	0	0
32	1683072000000	22.262824662378538	8773546966.16016	326717891.1492143	1683072000.0	2023-05-03 00:00:00	2023	5	3	0	0	0
33	1683158400000	22.21964186016809	8762010269.84146	493483012.2385331	1683158400.0	2023-05-04 00:00:00	2023	5	4	0	0	0
34	1683244800000	21.741800973800856	8571042186.731829	330851121.9196332	1683244800.0	2023-05-05 00:00:00	2023	5	5	0	0	0
35	1683331200000	22.81860623219127	8999007584.2166	495492869.2605281	1683331200.0	2023-05-06 00:00:00	2023	5	6	0	0	0
36	1683417600000	21.986706406341238	8661587000.942377	387964991.34185696	1683417600.0	2023-05-07 00:00:00	2023	5	7	0	0	0
37	1683504000000	22.002452285817817	8705466133.769728	341580978.5898679	1683504000.0	2023-05-08 00:00:00	2023	5	8	0	0	0
38	1683590400000	20.65668464098513	8146997991.830378	647060628.2950592	1683590400.0	2023-05-09 00:00:00	2023	5	9	0	0	0
39	1683676800000	20.656981167558687	8164794903.556	318980320.96681505	1683676800.0	2023-05-10 00:00:00	2023	5	10	0	0	0
40	1683763200000	20.975704627626367	8287539919.545623	525984506.46583825	1683763200.0	2023-05-11 00:00:00	2023	5	11	0	0	0
41	1683849600000	20.25440267119237	8015037356.982577	428549097.3925601	1683849600.0	2023-05-12 00:00:00	2023	5	12	0	0	0
42	1683936000000	20.920162303818756	8274505085.732654	397702422.40830547	1683936000.0	2023-05-13 00:00:00	2023	5	13	0	0	0
43	1684022400000	20.899582667518416	8297710532.113992	252119905.38455606	1684022400.0	2023-05-14 00:00:00	2023	5	14	0	0	0
44	1684108800000	20.936961536705592	8280978190.929416	211874592.44175723	1684108800.0	2023-05-15 00:00:00	2023	5	15	0	0	0
45	1684195200000	21.037748291765592	8316882669.84985	339745928.0609949	1684195200.0	2023-05-16 00:00:00	2023	5	16	0	0	0
46	1684281600000	20.686212717829434	8187913902.158279	338232379.0015512	1684281600.0	2023-05-17 00:00:00	2023	5	17	0	0	0
47	1684368000000	21.058205359893172	8341868800.046011	332798485.4910487	1684368000.0	2023-05-18 00:00:00	2023	5	18	0	0	0
48	1684454400000	20.34519578780548	8061536789.167275	325479692.16594124	1684454400.0	2023-05-19 00:00:00	2023	5	19	0	0	0
49	1684540800000	20.351526847180452	8059779103.665763	159063269.00987265	1684540800.0	2023-05-20 00:00:00	2023	5	20	0	0	0
50	1684627200000	20.269684813481774	8022997471.517465	129666227.92747962	1684627200.0	2023-05-21 00:00:00	2023	5	21	0	0	0
51	1684713600000	19.630800782887565	7783712425.51017	236865558.0071539	1684713600.0	2023-05-22 00:00:00	2023	5	22	0	0	0
52	1684800000000	19.558762789709252	7749799385.59985	245317080.64974216	1684800000.0	2023-05-23 00:00:00	2023	5	23	0	0	0
53	1684886400000	20.04690938871374	7940043369.313906	293341170.1322027	1684886400.0	2023-05-24 00:00:00	2023	5	24	0	0	0
